"Portion_code","Portion_description","Start_date","End_date"
10101,"1 cup, gumdrops",2017-01-01,2018-12-31
10102,"1 cup, gummy bears",2017-01-01,2018-12-31
10103,"1 cup, gummy dinosaurs",2017-01-01,2018-12-31
10104,"1 cup, gummy worms",2017-01-01,2018-12-31
10105,"1 cup, halves",2017-01-01,2018-12-31
10106,"1 cup, halves and whole",2017-01-01,2018-12-31
10107,"1 cup, hearts",2017-01-01,2018-12-31
10108,"1 cup, homemade",2017-01-01,2018-12-31
10109,"1 cup, hubbard",2017-01-01,2018-12-31
10110,"1 cup, hubbard, cubed",2017-01-01,2018-12-31
10111,"1 cup, hulled",2017-01-01,2018-12-31
10112,"1 cup, husks",2017-01-01,2018-12-31
10113,"1 cup, in shell, yields",2017-01-01,2018-12-31
10114,"1 cup, in shell, yields (7 nuts)",2017-01-01,2018-12-31
10115,"1 cup, leaves only",2017-01-01,2018-12-31
10116,"1 cup, loose",2017-01-01,2018-12-31
10117,"1 cup, loose (approx 13 chips)",2017-01-01,2018-12-31
10118,"1 cup, mashed",2017-01-01,2018-12-31
10119,"1 cup, mashed or pureed",2017-01-01,2018-12-31
10120,"1 cup, melted",2017-01-01,2018-12-31
10121,"1 cup, mixed greens",2017-01-01,2018-12-31
10122,"1 cup, moist type",2017-01-01,2018-12-31
10123,"1 cup, morsels",2017-01-01,2018-12-31
10124,"1 cup, mung",2017-01-01,2018-12-31
10125,"1 cup, oyster crackers",2017-01-01,2018-12-31
10126,"1 cup, packed",2017-01-01,2018-12-31
10127,"1 cup, pared, chopped",2017-01-01,2018-12-31
10128,"1 cup, peanut clusters",2017-01-01,2018-12-31
10129,"1 cup, pieces",2017-01-01,2018-12-31
10130,"1 cup, pieces or slices",2017-01-01,2018-12-31
10131,"1 cup, pieces, without seeds",2017-01-01,2018-12-31
10132,"1 cup, pitted",2017-01-01,2018-12-31
10133,"1 cup, pitted, chopped",2017-01-01,2018-12-31
10134,"1 cup, popped",2017-01-01,2018-12-31
10135,"1 cup, prepared",2017-01-01,2018-12-31
10136,"1 cup, pulp",2017-01-01,2018-12-31
10137,"1 cup, pumpkin leaves",2017-01-01,2018-12-31
10138,"1 cup, pumpkin, cubed",2017-01-01,2018-12-31
10139,"1 cup, purchased",2017-01-01,2018-12-31
10140,"1 cup, pureed",2017-01-01,2018-12-31
10141,"1 cup, quartered or chopped",2017-01-01,2018-12-31
10143,"1 cup, raw, yield cooked",2017-01-01,2018-12-31
10144,"1 cup, regular",2017-01-01,2018-12-31
10145,"1 cup, rings",2017-01-01,2018-12-31
10146,"1 cup, roasted",2017-01-01,2018-12-31
10147,"1 cup, romaine",2017-01-01,2018-12-31
10148,"1 cup, rounds",2017-01-01,2018-12-31
10149,"1 cup, sauce",2017-01-01,2018-12-31
10150,"1 cup, sections",2017-01-01,2018-12-31
10151,"1 cup, seedless",2017-01-01,2018-12-31
10152,"1 cup, semi-sweet",2017-01-01,2018-12-31
10153,"1 cup, shell removed",2017-01-01,2018-12-31
10154,"1 cup, shelled",2017-01-01,2018-12-31
10155,"1 cup, shelled (32 kernels)",2017-01-01,2018-12-31
10156,"1 cup, shelled (50 halves)",2017-01-01,2018-12-31
10157,"1 cup, shelled, halves and whole",2017-01-01,2018-12-31
10158,"1 cup, shelled, raw (yield after cooking)",2017-01-01,2018-12-31
10159,"1 cup, shredded",2017-01-01,2018-12-31
10160,"1 cup, shredded or chopped",2017-01-01,2018-12-31
10161,"1 cup, sliced",2017-01-01,2018-12-31
10162,"1 cup, sliced or chopped",2017-01-01,2018-12-31
10163,"1 cup, sliced or cubed",2017-01-01,2018-12-31
10164,"1 cup, sliced, blanched",2017-01-01,2018-12-31
10165,"1 cup, sliced, unblanched",2017-01-01,2018-12-31
10166,"1 cup, slices",2017-01-01,2018-12-31
10167,"1 cup, slivered, blanched",2017-01-01,2018-12-31
10168,"1 cup, slivered, unblanched",2017-01-01,2018-12-31
10169,"1 cup, small pieces",2017-01-01,2018-12-31
10170,"1 cup, solid or chunks, drained",2017-01-01,2018-12-31
10171,"1 cup, solid pack",2017-01-01,2018-12-31
10172,"1 cup, solids only",2017-01-01,2018-12-31
10173,"1 cup, soybean",2017-01-01,2018-12-31
10174,"1 cup, stacked",2017-01-01,2018-12-31
10175,"1 cup, stacked (approx 20 chips)",2017-01-01,2018-12-31
10176,"1 cup, stalk and leaves",2017-01-01,2018-12-31
10177,"1 cup, sticks",2017-01-01,2018-12-31
10178,"1 cup, strawberry",2017-01-01,2018-12-31
10179,"1 cup, strips",2017-01-01,2018-12-31
10180,"1 cup, strips or slices",2017-01-01,2018-12-31
10181,"1 cup, sugar-coated",2017-01-01,2018-12-31
10182,"1 cup, sweetpotato leaves",2017-01-01,2018-12-31
10183,"1 cup, thick cut, regular",2017-01-01,2018-12-31
10184,"1 cup, thick cut, rippled",2017-01-01,2018-12-31
10185,"1 cup, thin sticks",2017-01-01,2018-12-31
10186,"1 cup, tub",2017-01-01,2018-12-31
10187,"1 cup, unpacked",2017-01-01,2018-12-31
10188,"1 cup, unpared, chopped",2017-01-01,2018-12-31
10189,"1 cup, unpopped, yields",2017-01-01,2018-12-31
10190,"1 cup, wafer slices or shaved",2017-01-01,2018-12-31
10191,"1 cup, well packed",2017-01-01,2018-12-31
10192,"1 cup, whole",2017-01-01,2018-12-31
10193,"1 cup, whole or halves",2017-01-01,2018-12-31
10194,"1 cup, whole, blanched",2017-01-01,2018-12-31
10195,"1 cup, whole, unblanched",2017-01-01,2018-12-31
10196,"1 cup, with bone (yield after bone removed)",2017-01-01,2018-12-31
10197,"1 cup, with bone, cooked (yield after bone removed)",2017-01-01,2018-12-31
10198,"1 cup, with gravy",2017-01-01,2018-12-31
