"Portion_code","Portion_description","Start_date","End_date"
60746,"1 envelope, cocoa mix",2017-01-01,2018-12-31
60747,"1 envelope, mint flavor (.41 oz)",2017-01-01,2018-12-31
60748,"1 espresso cup (2 fl oz)",2017-01-01,2018-12-31
60749,"1 extra large",2017-01-01,2018-12-31
60750,"1 extra large (1-5/8"" dia)",2017-01-01,2018-12-31
60751,"1 extra large (6-1/2"" long)",2017-01-01,2018-12-31
60752,"1 extra large (approx 5"" dia)",2017-01-01,2018-12-31
60753,"1 extra large bar (32 squares, 8 oz)",2017-01-01,2018-12-31
60754,"1 extra large egg",2017-01-01,2018-12-31
60755,"1 extra large muffin (3-1/2"" dia)",2017-01-01,2018-12-31
60756,"1 extra large stick (approx 6-1/2"" long)",2017-01-01,2018-12-31
60757,"1 extra long ear (12"" long)",2017-01-01,2018-12-31
60758,"1 extra-large ear (12"" long)",2017-01-01,2018-12-31
60759,"1 extra-large shrimp (shelled)",2017-01-01,2018-12-31
60760,"1 f1 oz",2017-01-01,2018-12-31
60761,"1 fast food order",2017-01-01,2018-12-31
60762,"1 fast food package",2017-01-01,2018-12-31
60763,"1 fig",2017-01-01,2018-12-31
60764,"1 fig with liquid",2017-01-01,2018-12-31
60765,"1 fillet",2017-01-01,2018-12-31
60766,"1 fillet (4-3/8"" x 1-3/4"" x 1/4"")",2017-01-01,2018-12-31
60767,"1 fillet (5"" x 2-1/2"" x 3/8"")",2017-01-01,2018-12-31
60768,"1 fillet (5-1/4"" x 2"" x 3/8"")",2017-01-01,2018-12-31
60769,"1 fillet (6"" x 2-1/2"" x 3/8"")",2017-01-01,2018-12-31
60770,"1 fillet (6-1/2"" x 4"" x 3/8"")",2017-01-01,2018-12-31
60771,"1 fillet (6-1/4"" x 2-1/2"" x 3/8"")",2017-01-01,2018-12-31
60772,"1 fillet (6-1/4"" x 3"" x 3/8"")",2017-01-01,2018-12-31
60773,"1 fillet (6-1/4"" x 3-1/2"" x 3/4"")",2017-01-01,2018-12-31
60774,"1 fillet (6-1/4"" x 3-1/2"" x 3/8"")",2017-01-01,2018-12-31
60775,"1 fillet (6-1/4"" x 3-1/4"" x 3/8"")",2017-01-01,2018-12-31
60776,"1 fillet (6-1/4"" x 4"" x 3/8"")",2017-01-01,2018-12-31
60777,"1 fillet (7-1/4"" x 4-1/4"" x 3/8"")",2017-01-01,2018-12-31
60778,"1 fish cake (2-1/2"" dia x 7/8"" thick)",2017-01-01,2018-12-31
60779,"1 fish sandwich",2017-01-01,2018-12-31
60780,"1 fishburger",2017-01-01,2018-12-31
60781,"1 flauta, any size",2017-01-01,2018-12-31
60782,"1 floweret",2017-01-01,2018-12-31
60783,"1 foot",2017-01-01,2018-12-31
60784,"1 foot (yield after cooking, bone removed)",2017-01-01,2018-12-31
60785,"1 foot long frankfurter roll",2017-01-01,2018-12-31
60786,"1 foot long hot dog on bun",2017-01-01,2018-12-31
60787,"1 footlong frank",2017-01-01,2018-12-31
60788,"1 foreleg (yield after cooking, bone removed)",2017-01-01,2018-12-31
60789,"1 frankfurter",2017-01-01,2018-12-31
60790,"1 frankfurter (10 per pound)",2017-01-01,2018-12-31
60791,"1 frankfurter (8 per 12 oz package)",2017-01-01,2018-12-31
60792,"1 frankfurter (8 per pound)",2017-01-01,2018-12-31
60793,"1 frankfurter with cheese on bun",2017-01-01,2018-12-31
60794,"1 frankfurter with sauce",2017-01-01,2018-12-31
60795,"1 frankfurter with sauerkraut",2017-01-01,2018-12-31
60796,"1 frankfurter, (8 per pound)",2017-01-01,2018-12-31
60797,"1 frankfurter, thick (8 per pound)",2017-01-01,2018-12-31
60798,"1 fresh",2017-01-01,2018-12-31
60799,"1 fried shrimp, NFS",2017-01-01,2018-12-31
60800,"1 fritter",2017-01-01,2018-12-31
60801,"1 fritter (1-1/4"" dia)",2017-01-01,2018-12-31
60802,"1 fritter (2"" dia)",2017-01-01,2018-12-31
60803,"1 fritter (2"" long)",2017-01-01,2018-12-31
60804,"1 fritter (2-1/2"" long x 1-5/8"" wide)",2017-01-01,2018-12-31
60805,"1 fritter (2-1/2"" x 1-1/2""x 1/2"")",2017-01-01,2018-12-31
60806,"1 fritter (2-1/2"" x 2-1/2"" x 1/4"")",2017-01-01,2018-12-31
60807,"1 fritter (2-3/4"" x 2-1/2"" x 1"")",2017-01-01,2018-12-31
60808,"1 fritter (3"" x 3"" x 1/2"")",2017-01-01,2018-12-31
60809,"1 fritter (3-1/2"" x 3-1/2"")",2017-01-01,2018-12-31
60810,"1 fritter (4"" x 2-1/4"" x 3/4"")",2017-01-01,2018-12-31
60811,"1 frozen",2017-01-01,2018-12-31
60812,"1 frozen slice",2017-01-01,2018-12-31
60813,"1 fruit",2017-01-01,2018-12-31
60814,"1 fruit (2"" dia)",2017-01-01,2018-12-31
60815,"1 fruit (2-1/2"" dia)",2017-01-01,2018-12-31
60816,"1 fruit (2-1/8"" dia)",2017-01-01,2018-12-31
60817,"1 fruit (2-3/8"" dia)",2017-01-01,2018-12-31
60818,"1 fruit (2-7/8"" dia)",2017-01-01,2018-12-31
60819,"1 fruit (7"" x 5-1/4"" dia)",2017-01-01,2018-12-31
60820,"1 fruit (7-1/4"" long)",2017-01-01,2018-12-31
60821,"1 fudge stick",2017-01-01,2018-12-31
60822,"1 fun size bar",2017-01-01,2018-12-31
60823,"1 fun size package",2017-01-01,2018-12-31
60824,"1 garden salad",2017-01-01,2018-12-31
60825,"1 giant stick (1 oz)",2017-01-01,2018-12-31
60826,"1 giblet",2017-01-01,2018-12-31
60827,"1 gizzard, chicken, cooked",2017-01-01,2018-12-31
60828,"1 gizzard, turkey, cooked",2017-01-01,2018-12-31
60829,"1 goldfish",2017-01-01,2018-12-31
60830,"1 grain",2017-01-01,2018-12-31
60831,"1 grape",2017-01-01,2018-12-31
60832,"1 grape, NFS",2017-01-01,2018-12-31
60833,"1 grape, seedless",2017-01-01,2018-12-31
60834,"1 grape, with seeds, yields",2017-01-01,2018-12-31
60835,"1 green banana",2017-01-01,2018-12-31
60836,"1 guava, common",2017-01-01,2018-12-31
60837,"1 guava, strawberry",2017-01-01,2018-12-31
60838,"1 gyro",2017-01-01,2018-12-31
60839,"1 half",2017-01-01,2018-12-31
60840,"1 half with liquid",2017-01-01,2018-12-31
60841,"1 hallaca (5-3/4"" x 2-1/2"" x 1/2"")",2017-01-01,2018-12-31
60842,"1 ham and cheese muffin",2017-01-01,2018-12-31
60843,"1 ham hock (yield after cooking, bone removed)",2017-01-01,2018-12-31
60844,"1 hamburger",2017-01-01,2018-12-31
60845,"1 hamburger or sandwich roll",2017-01-01,2018-12-31
60847,"1 hamburger, hot dog bun, or large roll",2017-01-01,2018-12-31
60849,"1 head",2017-01-01,2018-12-31
60850,"1 head (5"" dia)",2017-01-01,2018-12-31
60851,"1 head, yields",2017-01-01,2018-12-31
60852,"1 heart",2017-01-01,2018-12-31
60853,"1 heart (3-1/4"" long)",2017-01-01,2018-12-31
60854,"1 hen (1-1/4 lb, raw) (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
60855,"1 hen (1-1/4 lb, raw) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60856,"1 hindleg (leg and thigh) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60857,"1 medium S'mores cookie",2017-01-01,2018-12-31
60858,"1 large S'mores cookie",2017-01-01,2018-12-31
60859,"1 hors d'oeuvre",2017-01-01,2018-12-31
60860,"1 hush puppy",2017-01-01,2018-12-31
60861,"1 ice cream nugget",2017-01-01,2018-12-31
60862,"1 ice cream roll (12 oz)",2017-01-01,2018-12-31
60863,"1 individual box (2 oz)",2017-01-01,2018-12-31
60864,"1 individual cake",2017-01-01,2018-12-31
60865,"1 individual cake (approx 3-1/2"" x 3-1/2"" x 1"")",2017-01-01,2018-12-31
60866,"1 individual cake (include Sara Lee Deluxe Carrot Cake Snack)",2017-01-01,2018-12-31
60867,"1 individual cheese cake",2017-01-01,2018-12-31
60868,"1 individual container",2017-01-01,2018-12-31
60869,"1 individual container (.5 fl oz)",2017-01-01,2018-12-31
60870,"1 individual dessert shell or shortcake (approx 3"" dia)",2017-01-01,2018-12-31
60871,"1 individual loaf",2017-01-01,2018-12-31
60872,"1 individual package",2017-01-01,2018-12-31
60873,"1 individual package (1.25 oz)",2017-01-01,2018-12-31
60874,"1 individual package (2 oz package containing 2 3"" bars)",2017-01-01,2018-12-31
60875,"1 individual package (contains 2 3-1/4"" long bars)",2017-01-01,2018-12-31
60876,"1 individual packet",2017-01-01,2018-12-31
60877,"1 individual pie",2017-01-01,2018-12-31
60878,"1 individual quiche",2017-01-01,2018-12-31
60879,"1 individual serving",2017-01-01,2018-12-31
60880,"1 individual serving (4-5 heaping teaspoon or 1 envelope)",2017-01-01,2018-12-31
60881,"1 individually wrapped piece",2017-01-01,2018-12-31
60882,"1 individually wrapped piece (1.15 oz)",2017-01-01,2018-12-31
60883,"1 injera (12"" dia)",2017-01-01,2018-12-31
60884,"1 jackfruit piece, canned",2017-01-01,2018-12-31
60885,"1 jar (12 oz)",2017-01-01,2018-12-31
60886,"1 jar (2.5 - 2.8 oz)",2017-01-01,2018-12-31
60887,"1 jar (2.5 oz)",2017-01-01,2018-12-31
60888,"1 jar (3.33 oz)",2017-01-01,2018-12-31
60889,"1 jar (3.5 oz)",2017-01-01,2018-12-31
60890,"1 jar (4 fl oz)",2017-01-01,2018-12-31
60891,"1 jar (4.5 oz - 4.75 oz)",2017-01-01,2018-12-31
60892,"1 jar (4.5 oz)",2017-01-01,2018-12-31
60893,"1 jar (4.75 oz)",2017-01-01,2018-12-31
60894,"1 jar (5 oz)",2017-01-01,2018-12-31
60895,"1 jar (6 fl oz)",2017-01-01,2018-12-31
60896,"1 jar (6 oz)",2017-01-01,2018-12-31
60897,"1 jar (6.25 oz)",2017-01-01,2018-12-31
60898,"1 jar (7 sticks)",2017-01-01,2018-12-31
60899,"1 jar (7.5 oz - 7.75 oz)",2017-01-01,2018-12-31
60900,"1 jar (7.75 oz)",2017-01-01,2018-12-31
60901,"1 jar junior (7.5 oz - 7.75 oz)",2017-01-01,2018-12-31
60902,"1 jar strained (4.5 oz - 4.75 oz)",2017-01-01,2018-12-31
60903,"1 jar, NFS",2017-01-01,2018-12-31
60904,"1 jelly roll",2017-01-01,2018-12-31
60905,"1 jigger",2017-01-01,2018-12-31
60906,"1 jumbo",2017-01-01,2018-12-31
60907,"1 jumbo (approx 6"" dia)",2017-01-01,2018-12-31
60908,"1 jumbo egg",2017-01-01,2018-12-31
60909,"1 jumbo link",2017-01-01,2018-12-31
60910,"1 jumbo shell, cooked",2017-01-01,2018-12-31
60911,"1 jumbo shrimp (shelled)",2017-01-01,2018-12-31
60912,"1 kidney, cooked beef",2017-01-01,2018-12-31
60913,"1 king crab leg, 19"" (cooked, shell removed)",2017-01-01,2018-12-31
60914,"1 king size bar (4 oz)",2017-01-01,2018-12-31
60915,"1 kiss",2017-01-01,2018-12-31
60916,"1 knish",2017-01-01,2018-12-31
60917,"1 kumquat",2017-01-01,2018-12-31
60918,"1 ladyfinger (3"" x 1-1/8"" x 1"")",2017-01-01,2018-12-31
60919,"1 large",2017-01-01,2018-12-31
60920,"1 large (1"" to 1-1/4"" dia)",2017-01-01,2018-12-31
60921,"1 large (1-3/8"" dia)",2017-01-01,2018-12-31
60922,"1 large (11-1/2"" long)",2017-01-01,2018-12-31
60923,"1 large (14"" dia)",2017-01-01,2018-12-31
60924,"1 large (2-1/2"" dia)",2017-01-01,2018-12-31
60925,"1 large (2-1/4"" x 1-1/4"" x 3/4"")",2017-01-01,2018-12-31
60926,"1 large (2-3/4"" dia)",2017-01-01,2018-12-31
60927,"1 large (2-3/4"" dia) (approx 2-1/2 per lb)",2017-01-01,2018-12-31
60928,"1 large (2.25 per pound, approx 3-3/4"" long, 3"" dia)",2017-01-01,2018-12-31
60929,"1 large whole (3"" dia)",2017-01-01,2018-12-31
60930,"1 large (3"" to 4-1/4"" dia, raw)",2017-01-01,2018-12-31
60931,"1 large (3"" to 4-1/4"" dia, raw) yields",2017-01-01,2018-12-31
60932,"1 large (3-1/16"" dia)",2017-01-01,2018-12-31
60933,"1 large (3-1/2"" - 4"" dia)",2017-01-01,2018-12-31
60934,"1 large (include Archway brand)",2017-01-01,2018-12-31
60935,"1 large (3-1/4"" dia) (approx 2 per lb)",2017-01-01,2018-12-31
60936,"1 large (4"" long)",2017-01-01,2018-12-31
60937,"1 large (4-1/2"" dia)",2017-01-01,2018-12-31
60938,"1 large (4-1/2"" long)",2017-01-01,2018-12-31
60939,"1 large (5-3/4"" long x 3-1/4"" dia)",2017-01-01,2018-12-31
60940,"1 large (5-3/8"" long)",2017-01-01,2018-12-31
60941,"1 large (6 in 11 oz frozen package)",2017-01-01,2018-12-31
60942,"1 large (6 oz, with bone, raw) (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
60943,"1 large (6 oz, with bone, raw) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60944,"1 large (6 per 12 oz package)",2017-01-01,2018-12-31
60945,"1 large (6-1/2"" dia)",2017-01-01,2018-12-31
60946,"1 large (7"" long)",2017-01-01,2018-12-31
60947,"1 large (7-1/4"" to 8-1/2"" long)",2017-01-01,2018-12-31
60948,"1 large (8 oz, with bone, raw) (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
60949,"1 large (8 oz, with bone, raw) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60950,"1 large (8-1/4"" long)",2017-01-01,2018-12-31
60951,"1 large (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
60952,"1 large (8.25 oz, with bone, raw) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60953,"1 large (9"" long)",2017-01-01,2018-12-31
60954,"1 large (9-3/4"" long)",2017-01-01,2018-12-31
60955,"1 large (approx 3-1/2"" - 4"" dia)",2017-01-01,2018-12-31
60956,"1 large (approx 7"" dia)",2017-01-01,2018-12-31
60957,"1 large (include Kaiser)",2017-01-01,2018-12-31
60958,"1 large (include Keebler Rich 'n Chips, Pecan Chips Deluxe)",2017-01-01,2018-12-31
60961,"1 large (larger than 2-1/4"" dia, raw)",2017-01-01,2018-12-31
60962,"1 large 10"" dia",2017-01-01,2018-12-31
60963,"1 large Atlantic cod (yield after cooking, bone removed)",2017-01-01,2018-12-31
60964,"1 large Chimichanga",2017-01-01,2018-12-31
60965,"1 large Frosty",2017-01-01,2018-12-31
60966,"1 large McDonald's shake (22 fl oz)",2017-01-01,2018-12-31
60967,"1 large Pacific cod (yield after cooking, bone removed)",2017-01-01,2018-12-31
60968,"1 large apple",2017-01-01,2018-12-31
60969,"1 large apple yields",2017-01-01,2018-12-31
60970,"1 large back (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
60971,"1 large back (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
60972,"1 large back (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
60973,"1 large back (yield after cooking, bone removed)",2017-01-01,2018-12-31
60974,"1 large bar (20 squares, 6 oz)",2017-01-01,2018-12-31
60975,"1 large bar (21 squares, 4 oz)",2017-01-01,2018-12-31
60976,"1 large bar (21 squares, 6 oz)",2017-01-01,2018-12-31
60977,"1 large bar (24 squares, 6 oz)",2017-01-01,2018-12-31
60978,"1 large bar (28 squares, 6 oz)",2017-01-01,2018-12-31
60979,"1 large bass (yield after cooking, bone removed)",2017-01-01,2018-12-31
60980,"1 large biscuit (Hungry Jack)",2017-01-01,2018-12-31
60981,"1 large blowfish, boneless (yield after cooking)",2017-01-01,2018-12-31
60982,"1 large box (about 5 oz), prepared",2017-01-01,2018-12-31
60983,"1 large bream (yield after cooking, bone removed)",2017-01-01,2018-12-31
60984,"1 large bullhead (yield after cooking, bone removed)",2017-01-01,2018-12-31
60985,"1 large burrito",2017-01-01,2018-12-31
60986,"1 large butterfish (yield after cooking, bone removed)",2017-01-01,2018-12-31
60987,"1 large can (25.25 oz)",2017-01-01,2018-12-31
60988,"1 large carp (yield after cooking, bone removed)",2017-01-01,2018-12-31
60989,"1 large catfish (yield after cooking, bone removed)",2017-01-01,2018-12-31
60990,"1 large chappatti or roti (8"")",2017-01-01,2018-12-31
60991,"1 large clam",2017-01-01,2018-12-31
60992,"1 large cone",2017-01-01,2018-12-31
60993,"1 large crappie (yield after cooking, bone removed)",2017-01-01,2018-12-31
60994,"1 large croaker (yield after cooking, bone removed)",2017-01-01,2018-12-31
60995,"1 large cut (3 ribs of varied size per cut) (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
60996,"1 large cut (3 ribs of varied size per cut) (yield after cooking, bone removed)",2017-01-01,2018-12-31
60997,"1 large dip/scoop",2017-01-01,2018-12-31
60998,"1 large doughnut (3-5/8"" dia)",2017-01-01,2018-12-31
60999,"1 large doughnut (approx 3-1/2"" - 4"" dia)",2017-01-01,2018-12-31
61000,"1 large doughnut (approx 4-1/4"" dia)",2017-01-01,2018-12-31
61001,"1 large drumstick (from tom, approx 19 to 21 lb bird) (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61002,"1 large drumstick (from tom, approx 19 to 21 lb bird) (yield after cooking, bone removed)",2017-01-01,2018-12-31
61003,"1 large drumstick (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
61004,"1 large drumstick (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61005,"1 large drumstick (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61006,"1 large drumstick (yield after cooking, bone removed)",2017-01-01,2018-12-31
61007,"1 large dumpling",2017-01-01,2018-12-31
61008,"1 large ear (7-3/4"" to 9"" long)",2017-01-01,2018-12-31
61009,"1 large egg",2017-01-01,2018-12-31
61010,"1 large egg (5 oz)",2017-01-01,2018-12-31
61011,"1 large eggplant",2017-01-01,2018-12-31
61012,"1 large fast food cone (include Dairy Queen)",2017-01-01,2018-12-31
61013,"1 large fast food order",2017-01-01,2018-12-31
61014,"1 large fillet (7"" x 2-1/4"" x 1/4"")",2017-01-01,2018-12-31
61015,"1 large flounder (yield after cooking, bone removed)",2017-01-01,2018-12-31
61016,"1 large globe",2017-01-01,2018-12-31
61017,"1 large haddock (yield after cooking, bone removed)",2017-01-01,2018-12-31
61018,"1 large head",2017-01-01,2018-12-31
61019,"1 large head (6-7"" dia)",2017-01-01,2018-12-31
61020,"1 large head (about 5-1/2"" dia)",2017-01-01,2018-12-31
61021,"1 large head (about 7"" dia)",2017-01-01,2018-12-31
61022,"1 large head, endive",2017-01-01,2018-12-31
61023,"1 large head, romaine",2017-01-01,2018-12-31
61024,"1 large herring (yield after cooking, bone removed)",2017-01-01,2018-12-31
61025,"1 large leaf",2017-01-01,2018-12-31
61026,"1 large leg (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
61027,"1 large leg (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61028,"1 large leg (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61029,"1 large leg (yield after cooking, bone removed)",2017-01-01,2018-12-31
61030,"1 large liver",2017-01-01,2018-12-31
61031,"1 large lobster (4 lb live weight) (yield after cooking, shell removed)",2017-01-01,2018-12-31
61032,"1 large lobster tail (yield from 4 lb lobster)",2017-01-01,2018-12-31
61033,"1 large meatball",2017-01-01,2018-12-31
61034,"1 large melon (about 6 1/2"" dia)",2017-01-01,2018-12-31
61035,"1 large menpachi (yield after cooking, bone removed)",2017-01-01,2018-12-31
61036,"1 large muffin (3-1/4"" dia)",2017-01-01,2018-12-31
61037,"1 large mullet (yield after cooking, bone removed)",2017-01-01,2018-12-31
61038,"1 large mussel",2017-01-01,2018-12-31
61039,"1 large or thick slice",2017-01-01,2018-12-31
61040,"1 large pancake (7"" dia)",2017-01-01,2018-12-31
61041,"1 large pattie (1.5 oz), York",2017-01-01,2018-12-31
61042,"1 large patty",2017-01-01,2018-12-31
61043,"1 large patty (5.3 oz, raw, 3 patties per lb) (yield after cooking)",2017-01-01,2018-12-31
61044,"1 large patty with gravy",2017-01-01,2018-12-31
61045,"1 large pear (approx 2 per lb)",2017-01-01,2018-12-31
61046,"1 large pepper (3-3/4"" long, 3"" dia)",2017-01-01,2018-12-31
61047,"1 large perch (yield after cooking, bone removed)",2017-01-01,2018-12-31
61048,"1 large piece (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
61049,"1 large piece (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61050,"1 large piece (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61051,"1 large piece (yield after cooking, bone removed)",2017-01-01,2018-12-31
61052,"1 large piece with sauce",2017-01-01,2018-12-31
61053,"1 large pita (6-1/2"" dia)",2017-01-01,2018-12-31
61054,"1 large pizza (15"" dia)",2017-01-01,2018-12-31
61055,"1 large porgy (yield after cooking, bone removed)",2017-01-01,2018-12-31
61056,"1 large rectangular piece or 2 squares or 4 small rectangular pieces",2017-01-01,2018-12-31
61057,"1 large rib (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
61058,"1 large rib (yield after cooking, bone removed)",2017-01-01,2018-12-31
61059,"1 large roll or bun (3-1/2"" dia)",2017-01-01,2018-12-31
61060,"1 large round Moon Cake",2017-01-01,2018-12-31
61061,"1 large round cracker",2017-01-01,2018-12-31
61062,"1 large sandwich",2017-01-01,2018-12-31
61063,"1 large sandwich (3-1/2"" - 4"" dia) (include Little Debbie Fudge Rounds)",2017-01-01,2018-12-31
61064,"1 large sandwich (3-1/2"" - 4"" dia) (include Almost Home Peanut Butter Cream Sandwich)",2017-01-01,2018-12-31
61065,"1 large sandwich (include Little Debbie Oatmeal Cream, Almost Home Oatmeal Cream)",2017-01-01,2018-12-31
61066,"1 large sandwich (include Little Debbie Raisin Creme Pie)",2017-01-01,2018-12-31
61067,"1 large scoop/dip",2017-01-01,2018-12-31
61068,"1 large shrimp (shelled)",2017-01-01,2018-12-31
61069,"1 large slice",2017-01-01,2018-12-31
61070,"1 large slice (1/4"" thick)",2017-01-01,2018-12-31
61071,"1 large slice (4-1/2"" x 3-1/4"" x 3/4"")",2017-01-01,2018-12-31
61072,"1 large slice (5"" x 2-1/2"" x 1"")",2017-01-01,2018-12-31
61074,"1 large snapper (yield after cooking, bone removed)",2017-01-01,2018-12-31
61075,"1 large spear",2017-01-01,2018-12-31
61076,"1 large spot (yield after cooking, bone removed)",2017-01-01,2018-12-31
61077,"1 large square Moon Cake",2017-01-01,2018-12-31
61078,"1 large stalk (11"" - 12"" long)",2017-01-01,2018-12-31
61079,"1 large steak",2017-01-01,2018-12-31
61080,"1 large steak (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
61081,"1 large steak (yield after cooking, bone removed)",2017-01-01,2018-12-31
61082,"1 large stick (7-1/2"" long)",2017-01-01,2018-12-31
61083,"1 large stick (approx 5-3/8"" long)",2017-01-01,2018-12-31
61084,"1 large stick or slice",2017-01-01,2018-12-31
61085,"1 strip/stick",2017-01-01,2018-12-31
61086,"1 large submarine, hoagie roll",2017-01-01,2018-12-31
61087,"1 large thigh (from tom, approx 19 to 21 lb bird) (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61088,"1 large thigh (from tom, approx 19 to 21 lb bird) (yield after cooking, bone removed)",2017-01-01,2018-12-31
61089,"1 large thigh (yield after bone and skin removed)",2017-01-01,2018-12-31
61090,"1 large thigh (yield after bone removed)",2017-01-01,2018-12-31
61091,"1 large thigh (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
61092,"1 large thigh (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61093,"1 large thigh (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61094,"1 large thigh (yield after cooking, bone removed)",2017-01-01,2018-12-31
61095,"1 large tortilla (approx 10"" dia)",2017-01-01,2018-12-31
61096,"1 large tortilla (approx 8"" dia)",2017-01-01,2018-12-31
61097,"1 large tostone",2017-01-01,2018-12-31
61098,"1 large trout (yield after cooking, bone removed)",2017-01-01,2018-12-31
61099,"1 large waffle cone",2017-01-01,2018-12-31
61100,"1 large wedge (1/8 of large melon)",2017-01-01,2018-12-31
61101,"1 large whiting (yield after cooking, bone removed)",2017-01-01,2018-12-31
61102,"1 large wing (yield after cooking, bone and coating removed)",2017-01-01,2018-12-31
61103,"1 large wing (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61104,"1 large wing (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61105,"1 large wing (yield after cooking, bone removed)",2017-01-01,2018-12-31
61106,"1 large, Gherkin (3"" long)",2017-01-01,2018-12-31
61107,"1 large, breaded (8.25 oz, with bone, raw) (yield after cooking, bone and fat removed)",2017-01-01,2018-12-31
61108,"1 large, breaded (8.25 oz, with bone, raw) (yield after cooking, bone removed)",2017-01-01,2018-12-31
61109,"1 large, regular",2017-01-01,2018-12-31
61110,"1 large, soft",2017-01-01,2018-12-31
61111,"1 lasagna (7"" x 12"")",2017-01-01,2018-12-31
61112,"1 lasagna (8"" square)",2017-01-01,2018-12-31
61113,"1 lasagna noodle, cooked",2017-01-01,2018-12-31
61114,"1 lau lau",2017-01-01,2018-12-31
61115,"1 lb, with shell, yield after shell removed",2017-01-01,2018-12-31
61116,"1 leaf",2017-01-01,2018-12-31
61117,"1 leaf, endive",2017-01-01,2018-12-31
61118,"1 leaf, escarole",2017-01-01,2018-12-31
61119,"1 leaf, romaine",2017-01-01,2018-12-31
61120,"1 leek",2017-01-01,2018-12-31
61121,"1 leek (about 6-3/4"" long, 1"" dia)",2017-01-01,2018-12-31
61122,"1 leg (drumstick and thigh) (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61123,"1 leg (drumstick and thigh) (yield after cooking, bone removed)",2017-01-01,2018-12-31
61124,"1 leg (leg and thigh) (yield after cooking, bone removed)",2017-01-01,2018-12-31
61125,"1 leg (yield after cooking, bone removed)",2017-01-01,2018-12-31
61126,"1 leg claw (cooked, shell removed), NFS",2017-01-01,2018-12-31
61127,"1 leg quarter (yield after cooking, bone and skin removed)",2017-01-01,2018-12-31
61128,"1 leg quarter (yield after cooking, bone and skin/coating removed)",2017-01-01,2018-12-31
61129,"1 leg quarter (yield after cooking, bone removed)",2017-01-01,2018-12-31
61130,"1 leg, cooked (yield after bone removed)",2017-01-01,2018-12-31
61131,"1 licorice cough drop",2017-01-01,2018-12-31
61132,"1 link",2017-01-01,2018-12-31
61133,"1 link (1 oz, raw)",2017-01-01,2018-12-31
61134,"1 link (1 oz, raw), cooked",2017-01-01,2018-12-31
61135,"1 link (3-1/4"" long)",2017-01-01,2018-12-31
61136,"1 link (4 oz, raw, yield after cooking)",2017-01-01,2018-12-31
61137,"1 link (4"" long x 1-1/2"" dia)",2017-01-01,2018-12-31
61138,"1 link (4"" long x 1-1/8"" dia)",2017-01-01,2018-12-31
61139,"1 link (4"" long)",2017-01-01,2018-12-31
61140,"1 link (5"" long)",2017-01-01,2018-12-31
61141,"1 link (7"" long)",2017-01-01,2018-12-31
61142,"1 link (7/8"" dia x 4"" long)",2017-01-01,2018-12-31
61143,"1 link (raw dimensions: 4"" long x 7/8"" dia), cooked",2017-01-01,2018-12-31
61144,"1 link with sauce",2017-01-01,2018-12-31
61145,"1 link, NFS",2017-01-01,2018-12-31
61146,"1 link, cooked",2017-01-01,2018-12-31
61147,"1 link, cooked (4"" long)",2017-01-01,2018-12-31
61148,"1 Little Debbie Delight",2017-01-01,2018-12-31
61149,"1 Little Debbie Apple Flips",2017-01-01,2018-12-31
61150,"1 Little Debbie Coconut Round (2-1/2"" dia)",2017-01-01,2018-12-31
61151,"1 little link (2"" long x 3/4"" dia)",2017-01-01,2018-12-31
61152,"1 liver",2017-01-01,2018-12-31
61153,"1 loaf",2017-01-01,2018-12-31
