"Food_code","Subcode","Start_date","End_date"
91731100,0,2017-01-01,2018-12-31
91731100,1000136,2017-01-01,2018-12-31
91731100,1000137,2017-01-01,2018-12-31
91732000,0,2017-01-01,2018-12-31
91732000,1000139,2017-01-01,2018-12-31
91734000,0,2017-01-01,2018-12-31
91734000,1000141,2017-01-01,2018-12-31
91734000,1000142,2017-01-01,2018-12-31
91734000,1000143,2017-01-01,2018-12-31
91734000,1000286,2017-01-01,2018-12-31
91734100,0,2017-01-01,2018-12-31
91734100,1000315,2017-01-01,2018-12-31
91739010,0,2017-01-01,2018-12-31
91739010,1000145,2017-01-01,2018-12-31
91739010,1000146,2017-01-01,2018-12-31
91745010,0,2017-01-01,2018-12-31
91745010,1000148,2017-01-01,2018-12-31
91745010,1000149,2017-01-01,2018-12-31
91745010,1000150,2017-01-01,2018-12-31
91745010,1000151,2017-01-01,2018-12-31
91745010,1000152,2017-01-01,2018-12-31
91745010,1000153,2017-01-01,2018-12-31
91745010,1000154,2017-01-01,2018-12-31
91745010,1000155,2017-01-01,2018-12-31
91745010,1000156,2017-01-01,2018-12-31
91745010,1000157,2017-01-01,2018-12-31
91745010,1000269,2017-01-01,2018-12-31
91745010,1000297,2017-01-01,2018-12-31
91745010,1000321,2017-01-01,2018-12-31
91745020,0,2017-01-01,2018-12-31
91745020,1000159,2017-01-01,2018-12-31
91745020,1000160,2017-01-01,2018-12-31
91745020,1000161,2017-01-01,2018-12-31
91745020,1000162,2017-01-01,2018-12-31
91745020,1000163,2017-01-01,2018-12-31
91745020,1000164,2017-01-01,2018-12-31
91745020,1000165,2017-01-01,2018-12-31
91745020,1000166,2017-01-01,2018-12-31
91745020,1000167,2017-01-01,2018-12-31
91745020,1000168,2017-01-01,2018-12-31
91745020,1000169,2017-01-01,2018-12-31
91745020,1000170,2017-01-01,2018-12-31
91745020,1000171,2017-01-01,2018-12-31
91745020,1000172,2017-01-01,2018-12-31
91745020,1000173,2017-01-01,2018-12-31
91745020,1000174,2017-01-01,2018-12-31
91745020,1000175,2017-01-01,2018-12-31
91745020,1000176,2017-01-01,2018-12-31
91745020,1000177,2017-01-01,2018-12-31
91745020,1000178,2017-01-01,2018-12-31
91745020,1000179,2017-01-01,2018-12-31
91745020,1000180,2017-01-01,2018-12-31
91745020,1000181,2017-01-01,2018-12-31
91745020,1000182,2017-01-01,2018-12-31
91745020,1000183,2017-01-01,2018-12-31
91745020,1000184,2017-01-01,2018-12-31
91745020,1000185,2017-01-01,2018-12-31
91745020,1000186,2017-01-01,2018-12-31
91745020,1000187,2017-01-01,2018-12-31
91745020,1000188,2017-01-01,2018-12-31
91745020,1000189,2017-01-01,2018-12-31
91745020,1000190,2017-01-01,2018-12-31
91745020,1000191,2017-01-01,2018-12-31
91745020,1000192,2017-01-01,2018-12-31
91745020,1000193,2017-01-01,2018-12-31
91745020,1000194,2017-01-01,2018-12-31
91745020,1000195,2017-01-01,2018-12-31
91745020,1000196,2017-01-01,2018-12-31
91745020,1000197,2017-01-01,2018-12-31
91745020,1000198,2017-01-01,2018-12-31
91745020,1000199,2017-01-01,2018-12-31
91745020,1000266,2017-01-01,2018-12-31
91745020,1000271,2017-01-01,2018-12-31
91745020,1000282,2017-01-01,2018-12-31
91745020,1000283,2017-01-01,2018-12-31
91745020,1000288,2017-01-01,2018-12-31
91745020,1000296,2017-01-01,2018-12-31
91745020,1000314,2017-01-01,2018-12-31
91745020,1000328,2017-01-01,2018-12-31
91745020,1000357,2017-01-01,2018-12-31
91746010,0,2017-01-01,2018-12-31
91746010,1000201,2017-01-01,2018-12-31
91746010,1000323,2017-01-01,2018-12-31
91750000,0,2017-01-01,2018-12-31
91750000,1000202,2017-01-01,2018-12-31
91750000,1000204,2017-01-01,2018-12-31
91750000,1000205,2017-01-01,2018-12-31
91750000,1000206,2017-01-01,2018-12-31
91750000,1000207,2017-01-01,2018-12-31
91750000,1000208,2017-01-01,2018-12-31
91750000,1000209,2017-01-01,2018-12-31
91750000,1000210,2017-01-01,2018-12-31
91750000,1000211,2017-01-01,2018-12-31
91750000,1000212,2017-01-01,2018-12-31
91750000,1000213,2017-01-01,2018-12-31
91750000,1000214,2017-01-01,2018-12-31
91750000,1000274,2017-01-01,2018-12-31
91750000,1000278,2017-01-01,2018-12-31
91760000,0,2017-01-01,2018-12-31
91760000,1000219,2017-01-01,2018-12-31
91760100,0,2017-01-01,2018-12-31
91760100,1000221,2017-01-01,2018-12-31
91760100,1000222,2017-01-01,2018-12-31
91760100,1000270,2017-01-01,2018-12-31
91760100,1000308,2017-01-01,2018-12-31
91760200,0,2017-01-01,2018-12-31
91760200,1000224,2017-01-01,2018-12-31
91770020,0,2017-01-01,2018-12-31
91770020,1000226,2017-01-01,2018-12-31
91770020,1000268,2017-01-01,2018-12-31
91801000,0,2017-01-01,2018-12-31
91801000,1000229,2017-01-01,2018-12-31
