"Food_code","Moisture_change","Start_date","End_date"
11514140,0,2017-01-01,2018-12-31
11514150,0,2017-01-01,2018-12-31
11514310,0,2017-01-01,2018-12-31
11514320,0,2017-01-01,2018-12-31
11514330,0,2017-01-01,2018-12-31
11514340,0,2017-01-01,2018-12-31
11514350,0,2017-01-01,2018-12-31
11514360,0,2017-01-01,2018-12-31
11519040,0,2017-01-01,2018-12-31
11519050,0,2017-01-01,2018-12-31
11519105,0,2017-01-01,2018-12-31
11519200,0,2017-01-01,2018-12-31
11519205,0,2017-01-01,2018-12-31
11519210,0,2017-01-01,2018-12-31
11519215,0,2017-01-01,2018-12-31
11526000,0,2017-01-01,2018-12-31
11531000,0,2017-01-01,2018-12-31
11541110,0,2017-01-01,2018-12-31
11541120,0,2017-01-01,2018-12-31
11541130,0,2017-01-01,2018-12-31
11541135,0,2017-01-01,2018-12-31
11541400,0,2017-01-01,2018-12-31
11542100,0,2017-01-01,2018-12-31
11542200,0,2017-01-01,2018-12-31
11543000,0,2017-01-01,2018-12-31
11543010,0,2017-01-01,2018-12-31
11551050,0,2017-01-01,2018-12-31
11553100,0,2017-01-01,2018-12-31
11553110,0,2017-01-01,2018-12-31
11553120,0,2017-01-01,2018-12-31
11553130,0,2017-01-01,2018-12-31
11560000,0,2017-01-01,2018-12-31
11710000,0,2017-01-01,2018-12-31
11710050,0,2017-01-01,2018-12-31
11710051,0,2017-01-01,2018-12-31
11710053,0,2017-01-01,2018-12-31
11710054,0,2017-01-01,2018-12-31
11710055,0,2017-01-01,2018-12-31
11710056,0,2017-01-01,2018-12-31
11710350,0,2017-01-01,2018-12-31
11710351,0,2017-01-01,2018-12-31
11710352,0,2017-01-01,2018-12-31
11710353,0,2017-01-01,2018-12-31
11710354,0,2017-01-01,2018-12-31
11710355,0,2017-01-01,2018-12-31
11710356,0,2017-01-01,2018-12-31
11710357,0,2017-01-01,2018-12-31
11710358,0,2017-01-01,2018-12-31
11710359,0,2017-01-01,2018-12-31
11710360,0,2017-01-01,2018-12-31
11710361,0,2017-01-01,2018-12-31
11710363,0,2017-01-01,2018-12-31
11710367,0,2017-01-01,2018-12-31
11710368,0,2017-01-01,2018-12-31
11710369,0,2017-01-01,2018-12-31
11710370,0,2017-01-01,2018-12-31
11710371,0,2017-01-01,2018-12-31
11710372,0,2017-01-01,2018-12-31
11710373,0,2017-01-01,2018-12-31
11710374,0,2017-01-01,2018-12-31
11710375,0,2017-01-01,2018-12-31
11710376,0,2017-01-01,2018-12-31
11710377,0,2017-01-01,2018-12-31
11710378,0,2017-01-01,2018-12-31
11710379,0,2017-01-01,2018-12-31
11710380,0,2017-01-01,2018-12-31
11710381,0,2017-01-01,2018-12-31
11710383,0,2017-01-01,2018-12-31
11710470,0,2017-01-01,2018-12-31
11710471,0,2017-01-01,2018-12-31
11710473,0,2017-01-01,2018-12-31
11710477,0,2017-01-01,2018-12-31
11710478,0,2017-01-01,2018-12-31
11710479,0,2017-01-01,2018-12-31
11710480,0,2017-01-01,2018-12-31
11710481,0,2017-01-01,2018-12-31
11710620,0,2017-01-01,2018-12-31
11710621,0,2017-01-01,2018-12-31
11710626,0,2017-01-01,2018-12-31
11710627,0,2017-01-01,2018-12-31
11710628,0,2017-01-01,2018-12-31
11710629,0,2017-01-01,2018-12-31
11710630,0,2017-01-01,2018-12-31
11710631,0,2017-01-01,2018-12-31
11710632,0,2017-01-01,2018-12-31
11710633,0,2017-01-01,2018-12-31
11710634,0,2017-01-01,2018-12-31
11710635,0,2017-01-01,2018-12-31
11710636,0,2017-01-01,2018-12-31
11710637,0,2017-01-01,2018-12-31
11710638,0,2017-01-01,2018-12-31
11710639,0,2017-01-01,2018-12-31
11710660,0,2017-01-01,2018-12-31
11710661,0,2017-01-01,2018-12-31
11710663,0,2017-01-01,2018-12-31
11710664,0,2017-01-01,2018-12-31
11710665,0,2017-01-01,2018-12-31
11710666,0,2017-01-01,2018-12-31
11710667,0,2017-01-01,2018-12-31
11710668,0,2017-01-01,2018-12-31
11710669,0,2017-01-01,2018-12-31
11710670,0,2017-01-01,2018-12-31
11710671,0,2017-01-01,2018-12-31
11710673,0,2017-01-01,2018-12-31
11710674,0,2017-01-01,2018-12-31
11710675,0,2017-01-01,2018-12-31
11710676,0,2017-01-01,2018-12-31
11710677,0,2017-01-01,2018-12-31
11710678,0,2017-01-01,2018-12-31
11710679,0,2017-01-01,2018-12-31
11710680,0,2017-01-01,2018-12-31
11710681,0,2017-01-01,2018-12-31
11710683,0,2017-01-01,2018-12-31
11710687,0,2017-01-01,2018-12-31
11710688,0,2017-01-01,2018-12-31
11710689,0,2017-01-01,2018-12-31
11710690,0,2017-01-01,2018-12-31
11710693,0,2017-01-01,2018-12-31
11710697,0,2017-01-01,2018-12-31
11710698,0,2017-01-01,2018-12-31
11710699,0,2017-01-01,2018-12-31
11710800,0,2017-01-01,2018-12-31
11710801,0,2017-01-01,2018-12-31
11710805,0,2017-01-01,2018-12-31
11710806,0,2017-01-01,2018-12-31
11710910,0,2017-01-01,2018-12-31
11710911,0,2017-01-01,2018-12-31
11710912,0,2017-01-01,2018-12-31
11710913,0,2017-01-01,2018-12-31
11710914,0,2017-01-01,2018-12-31
11710915,0,2017-01-01,2018-12-31
11710916,0,2017-01-01,2018-12-31
11710917,0,2017-01-01,2018-12-31
11710918,0,2017-01-01,2018-12-31
11710919,0,2017-01-01,2018-12-31
